,pval_outlier
ZBTB14_+_5295514.23-P1P2-1,1.0
ZBTB14_+_5295514.23-P1P2-2,1.0
ZBTB14_+_5295980.23-P1P2-1,1.0
ZBTB14_+_5295980.23-P1P2-2,1.0
DBP_-_49140535.23-P1P2-1,1.0
DBP_-_49140535.23-P1P2-2,1.0
DBP_-_49140602.23-P1P2-1,1.0
DBP_-_49140644.23-P1P2-1,1.0
DBP_-_49140644.23-P1P2-2,1.0
NKX2-1_+_36989438.23-P1P2-1,0.1995
NKX2-1_+_36989438.23-P1P2-2,1.0
NKX2-1_-_36989388.23-P1P2-1,0.1366
NKX2-1_-_36989388.23-P1P2-2,1.0
NKX2-1_-_36989413.23-P1P2-1,0.0889
NKX2-1_-_36989413.23-P1P2-2,1.0
ZNF608_+_124084421.23-P2-1,1.0
ZNF608_+_124084421.23-P2-2,1.0
ZNF608_-_124084468.23-P2-1,1.0
ZNF608_-_124084468.23-P2-2,0.0889
ZNF608_-_124084500.23-P2-1,0.661
ZNF608_-_124084500.23-P2-2,0.661
ZNF775_+_150076491.23-P1P2-2,0.9366
ZNF775_+_150076502.23-P1P2-1,0.7186
ZNF775_-_150076447.23-P1P2-1,0.3634
ZNF775_-_150076447.23-P1P2-2,0.9948
TAL1_+_47696811.23-ENST00000371884.2-2,1.0
TAL1_-_47697080.23-ENST00000371884.2-1,1.0
TAL1_-_47697080.23-ENST00000371884.2-2,1.0
TAL1_-_47697112.23-ENST00000371884.2-1,1.0
TAL1_-_47697112.23-ENST00000371884.2-2,1.0
ELF1_+_41593200.23-P1P2-1,1.0
ELF1_+_41593200.23-P1P2-2,1.0
ELF1_+_41593362.23-P1P2-1,1.0
ELF1_+_41593362.23-P1P2-2,1.0
ELF1_-_41593455.23-P1P2-1,1.0
ELF1_-_41593455.23-P1P2-2,1.0
SOX30_+_157079335.23-P1-1,0.4649
SOX30_+_157079335.23-P1-2,0.5649
SOX30_+_157079347.23-P1-1,1.0
SOX30_+_157079347.23-P1-2,0.4649
SOX30_-_157079340.23-P1-1,0.9531
SOX30_-_157079340.23-P1-2,1.0
OR4E2-1,1.0
OR4E2-2,1.0
OR4E2-3,1.0
OR4E2-4,1.0
OR4E2-5,1.0
OR4E2-6,1.0
OR4K13-1,0.0
OR4K13-2,0.9999
OR4K13-3,0.9984
OR4K13-4,1.0
OR4K13-5,0.8792
OR4K13-6,1.0
OR2F2-1,1.0
OR2F2-2,1.0
OR2F2-3,1.0
OR2F2-4,1.0
OR2F2-5,1.0
OR2F2-6,1.0
KMT2B_+_36211151.23-P2-1,0.9979
KMT2B_+_36211151.23-P2-2,0.1734
KMT2B_-_36211198.23-P2-1,0.9979
KMT2B_-_36211231.23-P2-1,0.9999
KMT2B_-_36211231.23-P2-2,0.3192
FERD3L_+_19185261.23-P1P2-1,1.0
FERD3L_+_19185261.23-P1P2-2,1.0
FERD3L_+_19185435.23-P1P2-1,1.0
FERD3L_+_19185435.23-P1P2-2,1.0
FERD3L_+_19185477.23-P1P2-1,1.0
FERD3L_+_19185477.23-P1P2-2,1.0
OR5T1-1,1.0
OR5T1-2,0.2771
OR5T1-3,1.0
OR5T1-4,1.0
OR5T1-5,0.2771
OR5T1-6,0.0889
ZBED6_+_203765219.23-P1P2-1,1.0
ZBED6_+_203765219.23-P1P2-2,1.0
ZBED6_+_203765262.23-P1P2-1,1.0
ZBED6_+_203765262.23-P1P2-2,1.0
ZBED6_+_203765271.23-P1P2-1,1.0
ZBED6_+_203765271.23-P1P2-2,1.0
GSX2_+_54966348.23-P1P2-2,1.0
GSX2_+_54966389.23-P1P2-2,1.0
GSX2_-_54966406.23-P1P2-1,1.0
GSX2_-_54966406.23-P1P2-2,1.0
HNF4G_-_76452161.23-P2-1,0.9984
HNF4G_-_76452161.23-P2-2,1.0
HNF4G_-_76452236.23-P2-1,0.367
HNF4G_-_76452236.23-P2-2,1.0
HNF4G_-_76452315.23-P2-1,0.9997
HNF4G_-_76452315.23-P2-2,0.367
