,index,x,y,cluster
277,TAF12:P1P2,59.08914,-49.460403,42
278,TAF4:P1P2,59.309547,-51.525097,42
279,TAF5:P1P2,-49.754868,38.32725,47
280,TAF5L:P1P2,55.7288,-61.830643,25
281,TARDBP:P1P2,26.209694,-6.540139,50
282,TBX18:P1,-76.43572,-1.119963,27
283,TBX18:P2,-59.269165,24.993484,47
284,TBX1:P1P2,3.141373,125.80421,44
285,TBX20:P1P2,-74.412346,124.39961,43
286,TBX2:P1P2,35.64561,11.500575,5
287,TBX3:P1P2,-48.061546,-17.831831,50
288,TBX5:P2,-41.24268,86.34214,40
289,TBX6:P1P2,1.8038114,128.4121,44
290,TCEB3:P1P2,-27.242584,94.39154,0
291,TCF21:P1P2,3.930262,131.75012,44
292,TCF7:P1P2,59.40684,-81.99026,52
293,TCF7L1:P1P2,-14.92405,118.1263,7
294,TET2:P1P2,-55.838005,57.254,4
295,TFAP4:P1P2,58.72182,-90.392494,52
296,TFCP2:P1P2,-73.84742,1.7983721,47
297,TGIF1:P1P2,-9.956707,-1.151512,24
298,TGIF2:P1P2,-51.52933,65.91643,4
299,THAP2:P1,-39.703377,-27.536707,45
300,THAP2:P2,-42.038074,-28.181757,50
301,THAP4:P1P2,46.70242,68.7508,23
302,THRA:P1P2,15.071289,-3.938982,25
303,TIGD1:P1P2,-41.7636,-37.206165,50
304,TMF1:P1P2,94.24274,-32.6042,53
305,TOPORS:P1P2,-14.209173,87.38338,7
306,TOX2:P1P2,87.55034,-21.043322,23
307,TP53:P1P2,-21.243631,0.20435001,47
308,TP63:P1P2,-16.065506,-25.30387,47
309,TRIM27:P1P2,82.39166,-24.831259,23
310,TRPS1:P1P2,-9.814204,-31.10949,25
311,TSC22D2:P1P2,13.608613,0.5751877,50
312,TULP4:P1P2,-29.635368,-99.246605,27
313,UNCX:P1P2,-20.828608,-85.17586,47
314,VENTX:P1P2,57.238907,-2.8207006,23
315,VSX2:P1P2,-14.440605,-28.335583,25
316,WIZ:P1P2,10.893408,-27.591496,25
317,WT1:P1P2,-54.811554,44.437534,0
318,YWHAE:P1P2,-17.928017,87.34583,0
319,YWHAZ:P1P2,7.570195,-32.278362,25
320,ZBED5:P1P2,-69.37612,-15.89032,49
321,ZBTB10:P1P2,-39.585922,-106.505356,46
322,ZBTB12:P1P2,-76.64395,120.060585,35
323,ZBTB34:P1P2,81.41743,38.45507,25
324,ZBTB39:P1P2,103.357475,-33.886982,23
325,ZBTB7C:P1,50.672367,-22.163233,53
326,ZBTB7C:P2,55.176067,-1.8215709,23
327,ZBTB8B:P1P2,-61.69629,24.679409,47
328,ZC3H15:P1P2,-36.9898,89.999855,0
329,ZC3H3:P1P2,-37.61196,-26.965967,48
330,ZEB1:P1,-58.24007,57.456303,4
331,ZEB2:P2,-9.87689,115.43535,7
332,ZFP36L1:P2,102.57476,-77.4642,5
333,ZFP64:P1P2,-49.475742,-41.231415,50
334,ZFP90:P1,65.29635,14.808242,23
335,ZFPM2:P1P2,-32.358624,110.87684,0
336,ZIC2:P1P2,-55.238,119.29209,0
337,ZIC5:P1P2,19.130543,-105.83337,49
338,ZNF101:P1P2,58.704388,-77.6016,52
339,ZNF107:P1P2,-44.175846,-38.02345,50
340,ZNF133:P1P2,-24.717295,126.007996,7
